Product ID,VN Name,EN Name,Brand,Category,Actual Price,Discount Price,Discount Rate,Variant,Star,Rating,Sold,Link
115535,[Mini] Serum innisfree Trà Xanh Dưỡng Ẩm 10ml,Green Tea Seed Hyaluronic Serum,innisfree,Mini / Sample,150000,90000,40,10ml,0.0,0,8.0,https://hasaki.vn/san-pham/gift-serum-innisfree-tra-xanh-duong-am-10ml-115535.html
75874,Cọ Che Khuyết Điểm Vacosi F09,Concealer Brush,Vacosi,Trang Điểm / Dụng Cụ Trang Điểm / Cọ Trang Điểm,60000,48000,20,1 cây,5.0,4,15.0,https://hasaki.vn/san-pham/co-che-khuyet-diem-vacosi-f09-75874.html
90411,Kem Chống Nắng Bioderma Giảm Bóng Nhờn 40ml (Màu Light),Photoderm MAX Aquafluide SPF 50+ (Claire / Light),Bioderma,Chăm Sóc Da Mặt / Chống Nắng Da Mặt,485000,360000,26,40ml,4.4,5,2.0,https://hasaki.vn/san-pham/kem-chong-nang-bioderma-giam-bong-nhon-40ml-mau-light-90411.html
108092,[Hàng Tách Set] Tinh Chất Kiehl's 5% Niacinamide Kiềm Dầu & Giảm Mụn 30ml,Ultra Pure High-Potency Serum 5.0% Niacinamide Oil-Minimizing,Kiehl's,,800000,720000,10,30ml,0.0,0,1.0,https://hasaki.vn/san-pham/tinh-chat-kiehl-s-niacinamide-5-kiem-dau-giam-mun-30ml-108092.html
105337,Chì Kẻ Mắt B.O.M Siêu Mảnh Lâu Trôi 01 Màu Đen 0.1g,Wonderproof Gel Slim Eyeliner #01 Midnight Black,B.O.M,Trang Điểm / Trang Điểm Mắt / Kẻ Mắt,268000,181000,32,01,5.0,1,4.0,https://hasaki.vn/san-pham/chi-ke-mat-b-o-m-sieu-manh-lau-troi-01-mau-den-0-1g-105337.html
87307,Combo La Roche-Posay Làm Sạch & Làm Dịu Da Dầu Nhạy Cảm,Effaclar Purifying Foaming Gel 50ml + Thermal Spring Water Sensitive Skin 50g,La Roche-Posay,Chăm Sóc Da Mặt / Bộ Chăm Sóc Da Mặt,355000,179000,50,2 món,0.0,0,4.0,https://hasaki.vn/san-pham/combo-la-roche-posay-xit-khoang-50g-sua-rua-mat-da-dau-nhay-cam-50ml-87307.html
134853,"Lược Vacosi Gỡ Rối, Giữ Nếp & Massage Da Đầu Xanh Mint C17-M",Flexi Detangling Brush - Mint,Vacosi,Chăm Sóc Tóc Và Da Đầu / Dụng Cụ Chăm Sóc Tóc / Lược,65000,55000,15,1 cây,0.0,0,13.0,https://hasaki.vn/san-pham/luoc-vacosi-go-roi-giu-nep-massage-da-dau-xanh-mint-c17-m-134853.html
68368,Khẩu Trang Mayan PM2.5 Size M 5 Cái (Màu Ngẫu Nhiên),3D Mask,MAYAN,Chăm Sóc Cá Nhân / Chăm Sóc Sức Khỏe / Khẩu Trang,21000,55000,15,5 cái,0.0,0,34.0,https://hasaki.vn/san-pham/khau-trang-mayan-3d-pm2-5-medi-5-cai-68368.html
4440,Cọ Tán Mày Vacosi Đầu Cứng BR05,Eyebrow Angled Brush,Vacosi,Trang Điểm / Dụng Cụ Trang Điểm / Cọ Trang Điểm,49000,38000,22, 1 cây,5.0,1,19.0,https://hasaki.vn/san-pham/co-ve-chan-may-vacosi-xeo-nho-dau-cung-br05-4440.html
127194,[HSD 06/2025] Nước Hoa Nữ Laura Anne Mystic For Her 50ml (Xám),Eau de Parfum,Laura Anne,Clearance Sale,299000,99000,67,50ml,0.0,0,8.0,https://hasaki.vn/san-pham/hsd-06-2025-nuoc-hoa-nu-laura-anne-mystic-for-her-50ml-xam-127194.html
